NATIONAL DATA BANK VERSION 8.2 ,,,,,,,,06/05/2019,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2018,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0606703 CA EBT SACRAMENTO CO DSW,31582,,160870,,192452,,11913,,81549,,93462,,26663771
0606902 CA EBT SAN BENITO COUNTY DSS,637,,3843,,4480,,250,,1839,,2089,,575112
0607105 CA EBT SAN BRNDINO CO DPSS AU,52664,,281451,,334115,,20122,,134920,,155042,,44545544
0607301 CA EBT SAN DIEGO CO DSS,26957,,227843,,254800,,9875,,121169,,131044,,32881076
0607502 CA EBT SAN FRANCISCO COUNTY DSS,3834,,42416,,46250,,1797,,29736,,31533,,6405251
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,13872,,84032,,97904,,5705,,39304,,45009,,12613286
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,1677,,13874,,15551,,684,,8419,,9103,,2047640
0608103 CA EBT SAN MATEO COUNTY DSS,1267,,21203,,22470,,533,,11493,,12026,,2832569
0608304 CA EBT SANTA BARBARA CO DSW,4444,,32651,,37095,,1731,,17668,,19399,,4894252
0608502 CA EBT SANTA CLARA COUNTY DSS,7466,,70861,,78327,,3080,,38677,,41757,,10167433
0608702 CA EBT SANTA CRUZ CO DSW,2153,,22010,,24163,,877,,13176,,14053,,3171449
0608901 CA EBT SHASTA CO DSW,2444,,19863,,22307,,1042,,11026,,12068,,2871468
0609101 CA EBT SIERRA CO HUMAN SVCS,15,,211,,226,,6,,129,,135,,26904
0609301 CA EBT SISKIYOU CO DSW,939,,5280,,6219,,351,,2747,,3098,,796548
0609502 CA EBT SOLANO CO DSW,4880,,31789,,36669,,2054,,17934,,19988,,5000896
0609701 CA EBT SONOMA CO DSW,2436,,24893,,27329,,1013,,14971,,15984,,3504348
0609902 CA EBT STANISLAUS CO. DSS,11309,,64714,,76023,,4230,,32474,,36704,,9958885
0610101 CA EBT SUTTER CO WELF DEPT,1687,,9673,,11360,,597,,4419,,5016,,1468903
0610301 CA EBT TEHAMA CO DSW,1036,,7767,,8803,,409,,3733,,4142,,1101427
0610501 CA EBT TRINITY CO DSW,156,,1466,,1622,,68,,898,,966,,222472
0610704 CA EBT TULARE COUNTY DSS,18628,,93392,,112020,,6774,,42462,,49236,,14995189
0610901 CA EBT TUOLUMNE CO WELF DEPT,500,,4135,,4635,,208,,2494,,2702,,597403
0611101 CA EBT VENTURA CO.,5794,,57999,,63793,,2270,,30944,,33214,,8316334
0611301 CA EBT YOLO CO DSW,1676,,15696,,17372,,642,,9185,,9827,,2359446
0611501 CA EBT YUBA CO WELFARE DEPT,1941,,10771,,12712,,710,,5260,,5970,,1672122
0800301 CO EBT ALAMOSA CO DSS,596,,3444,,4040,,329,,1866,,2195,,499946
0800701 CO EBT ARCHULETA CO DSS,100,,1005,,1105,,59,,465,,524,,124166
0800901 CO EBT BACA CO DSS,61,,497,,558,,38,,210,,248,,59785
0801101 CO EBT BENT CO DSS,107,,808,,915,,59,,396,,455,,99705
0801301 CO EBT BOULDER CO DSS,1982,,12714,,14696,,1161,,6917,,8078,,1806617
0801501 CO EBT CHAFFEE CO DSS,110,,1124,,1234,,84,,668,,752,,143039
0801701 CO EBT CHEYENNE CO DSS,8,,193,,201,,5,,79,,84,,22632
0801901 CO EBT CLEAR CREEK,43,,344,,387,,31,,225,,256,,44641
0802101 CO EBT CONEJOS CO DSS,238,,1186,,1424,,135,,610,,745,,158745
0802301 CO EBT COSTILLA CO DSS,247,,915,,1162,,139,,489,,628,,134826
0802501 CO EBT CROWLEY CO DSS,117,,710,,827,,71,,361,,432,,92060
0802701 CO EBT CUSTER CO DSS,50,,325,,375,,22,,187,,209,,44254
0802901 CO EBT DELTA CO DSS,294,,3797,,4091,,205,,1846,,2051,,469665
0803102 CO EBT DENVER,11725,,66770,,78495,,6972,,34162,,41134,,10052916
0803301 CO EBT DOLORES CO DSS,21,,151,,172,,9,,74,,83,,18085
0803501 CO EBT DOUGLAS,287,,4235,,4522,,210,,2052,,2262,,550612
