NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2016,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0804501 CO EBT GARFIELD CO DSS,316,,4007,,4323,,202,,1926,,2128,,557953
0804701 CO EBT GILPIN,31,,404,,435,,26,,225,,251,,59262
0804901 CO EBT GRAND,48,,494,,542,,25,,239,,264,,62114
0805101 CO EBT GUNN HINSDALE CO DSS,125,,814,,939,,64,,460,,524,,126541
0805301 CO EBT HINSDALE,2,,42,,44,,1,,20,,21,,4751
0805501 CO EBT HUERFANO CO DSS,240,,1497,,1737,,151,,811,,962,,225231
0805701 CO EBT JACKSON,11,,107,,118,,5,,51,,56,,14112
0805901 CO EBT JEFFERSON CO DSS,3209,,27893,,31102,,1924,,13285,,15209,,4031255
0806101 CO EBT KIOWA CO DSS,24,,121,,145,,12,,55,,67,,16518
0806301 CO EBT KIT CARSON CO DSS,54,,544,,598,,31,,239,,270,,64221
0806501 CO EBT LAKE CO DSS,69,,535,,604,,33,,267,,300,,76907
0806701 CO EBT LA PLATA CO DSS,388,,3038,,3426,,234,,1455,,1689,,432826
0806901 CO EBT LARIMER CO DSS,2480,,17869,,20349,,1352,,8606,,9958,,2576559
0807101 CO EBT LAS ANIMAS CO DSS,449,,2565,,3014,,266,,1410,,1676,,382245
0807301 CO EBT LINCOLN CO DSS,22,,472,,494,,16,,216,,232,,57925
0807501 CO EBT LOGAN CO DSS,191,,1802,,1993,,108,,855,,963,,232536
0807701 CO EBT MESA CO DSS,1781,,16941,,18722,,981,,7881,,8862,,2351656
0807901 CO EBT MINERAL,4,,22,,26,,4,,17,,21,,3147
0808101 CO EBT MOFFAT CO DSS,141,,1426,,1567,,75,,685,,760,,203652
0808301 CO EBT MONTEZUMA CO DSS,293,,3599,,3892,,177,,1521,,1698,,478086
0808501 CO EBT MONTROSE CO DSS,387,,4651,,5038,,270,,2276,,2546,,608973
0808701 CO EBT MORGAN CO DSS,320,,2559,,2879,,147,,1078,,1225,,341693
0808901 CO EBT OTERO CO DSS,483,,3841,,4324,,321,,1768,,2089,,510254
0809101 CO EBT OURAY CO DSS,21,,202,,223,,19,,107,,126,,25892
0809301 CO EBT PARK CO DSS,82,,1236,,1318,,54,,622,,676,,170191
0809501 CO EBT PHILLIPS CO DSS,41,,404,,445,,24,,173,,197,,49673
0809701 CO EBT PITKIN,44,,193,,237,,27,,139,,166,,33203
0809901 CO EBT PROWERS CO DSS,449,,2194,,2643,,223,,1026,,1249,,322359
0810101 CO EBT PUEBLO CO DSS,5435,,30510,,35945,,3035,,14738,,17773,,4697953
0810301 CO EBT RIO BLANCO CO DSS,56,,406,,462,,32,,189,,221,,59060
0810501 CO EBT RIO GRANDE CO DSS,299,,1821,,2120,,175,,827,,1002,,249600
0810701 CO EBT ROUTT CO DSS,78,,870,,948,,43,,519,,562,,134678
