NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,  , ,,,,,
Jan 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0801301 CO EBT BOULDER CO DSS,1951,,13854,,15805,,1185,,6781,,7966,,2027742
0801501 CO EBT CHAFFEE CO DSS,162,,1145,,1307,,116,,598,,714,,163441
0801701 CO EBT CHEYENNE CO DSS,29,,119,,148,,10,,52,,62,,15682
0801901 CO EBT CLEAR CREEK,67,,554,,621,,47,,332,,379,,84013
0802101 CO EBT CONEJOS CO DSS,267,,1594,,1861,,152,,727,,879,,222840
0802301 CO EBT COSTILLA CO DSS,271,,924,,1195,,145,,494,,639,,143189
0802501 CO EBT CROWLEY CO DSS,115,,694,,809,,66,,322,,388,,90878
0802701 CO EBT CUSTER CO DSS,46,,358,,404,,21,,189,,210,,50619
0802901 CO EBT DELTA CO DSS,350,,3742,,4092,,223,,1724,,1947,,509969
0803102 CO EBT DENVER,13708,,75630,,89338,,8119,,36158,,44277,,11892948
0803301 CO EBT DOLORES CO DSS,27,,129,,156,,12,,61,,73,,17636
0803501 CO EBT DOUGLAS,358,,5499,,5857,,244,,2412,,2656,,736026
0803701 CO EBT EAGLE CO DSS,107,,1386,,1493,,59,,655,,714,,209360
0803901 CO EBT ELBERT CO DSS,112,,941,,1053,,50,,400,,450,,138401
0804101 CO EBT EL PASO CO DSS,6382,,66123,,72505,,3182,,30063,,33245,,9554174
0804301 CO EBT FREMONT CO DSS,1056,,5038,,6094,,500,,2429,,2929,,747495
0804501 CO EBT GARFIELD CO DSS,396,,4091,,4487,,235,,1968,,2203,,600020
0804701 CO EBT GILPIN,37,,407,,444,,24,,208,,232,,61014
0804901 CO EBT GRAND,57,,609,,666,,34,,291,,325,,83282
0805101 CO EBT GUNN HINSDALE CO DSS,130,,878,,1008,,69,,487,,556,,135602
0805301 CO EBT HINSDALE,7,,23,,30,,3,,13,,16,,3767
0805501 CO EBT HUERFANO CO DSS,265,,1438,,1703,,165,,747,,912,,217094
0805701 CO EBT JACKSON,13,,105,,118,,4,,43,,47,,12365
0805901 CO EBT JEFFERSON CO DSS,3217,,30224,,33441,,1933,,14295,,16228,,4455497
0806101 CO EBT KIOWA CO DSS,17,,147,,164,,8,,70,,78,,21036
0806301 CO EBT KIT CARSON CO DSS,81,,571,,652,,43,,245,,288,,71241
0806501 CO EBT LAKE CO DSS,97,,545,,642,,43,,267,,310,,88071
0806701 CO EBT LA PLATA CO DSS,408,,3128,,3536,,243,,1534,,1777,,456713
0806901 CO EBT LARIMER CO DSS,2705,,19700,,22405,,1421,,9394,,10815,,2916849
0807101 CO EBT LAS ANIMAS CO DSS,466,,2337,,2803,,265,,1270,,1535,,354967
0807301 CO EBT LINCOLN CO DSS,33,,458,,491,,17,,206,,223,,55091
0807501 CO EBT LOGAN CO DSS,208,,1687,,1895,,109,,817,,926,,215095
0807701 CO EBT MESA CO DSS,1872,,15368,,17240,,991,,7208,,8199,,2221074
0807901 CO EBT MINERAL,2,,16,,18,,2,,10,,12,,1454
0808101 CO EBT MOFFAT CO DSS,135,,1323,,1458,,70,,662,,732,,194361
0808301 CO EBT MONTEZUMA CO DSS,235,,3462,,3697,,144,,1446,,1590,,450879
0808501 CO EBT MONTROSE CO DSS,414,,4899,,5313,,269,,2380,,2649,,647287
0808701 CO EBT MORGAN CO DSS,364,,2409,,2773,,159,,987,,1146,,328288
0808901 CO EBT OTERO CO DSS,451,,3691,,4142,,306,,1702,,2008,,486563
0809101 CO EBT OURAY CO DSS,25,,246,,271,,19,,134,,153,,34913
0809301 CO EBT PARK CO DSS,108,,1153,,1261,,69,,585,,654,,168678
0809501 CO EBT PHILLIPS CO DSS,41,,391,,432,,27,,160,,187,,46915
0809701 CO EBT PITKIN,23,,206,,229,,18,,153,,171,,32611
0809901 CO EBT PROWERS CO DSS,483,,2141,,2624,,233,,980,,1213,,315041
0810101 CO EBT PUEBLO CO DSS,5514,,30100,,35614,,3017,,14590,,17607,,4776226
