NATIONAL DATA BANK VERSION 8.2 - PRELOAD,,,,,,,2/12/2021, ,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0805501 CO EBT HUERFANO CO DSS,181,,1716,,1897,,110,,966,,1076,,403185
0805701 CO EBT JACKSON,20,,115,,135,,8,,54,,62,,28102
0805901 CO EBT JEFFERSON CO DSS,2736,,31227,,33963,,1671,,16176,,17847,,7583951
0806101 CO EBT KIOWA CO DSS,17,,196,,213,,10,,84,,94,,47164
0806301 CO EBT KIT CARSON CO DSS,64,,819,,883,,31,,364,,395,,213526
0806501 CO EBT LAKE CO DSS,49,,523,,572,,20,,279,,299,,123782
0806701 CO EBT LA PLATA CO DSS,492,,4280,,4772,,248,,2227,,2475,,1033290
0806901 CO EBT LARIMER CO DSS,2295,,25315,,27610,,1199,,13450,,14649,,6234493
0807101 CO EBT LAS ANIMAS CO DSS,413,,3123,,3536,,255,,1782,,2037,,762393
0807301 CO EBT LINCOLN CO DSS,22,,640,,662,,19,,302,,321,,141349
0807501 CO EBT LOGAN CO DSS,153,,2616,,2769,,112,,1362,,1474,,599777
0807701 CO EBT MESA CO DSS,1506,,19133,,20639,,856,,9719,,10575,,4589539
0807901 CO EBT MINERAL,1,,47,,48,,1,,32,,33,,9905
0808101 CO EBT MOFFAT CO DSS,123,,1488,,1611,,68,,777,,845,,360749
0808301 CO EBT MONTEZUMA CO DSS,349,,4777,,5126,,216,,2273,,2489,,1154562
0808501 CO EBT MONTROSE CO DSS,301,,5233,,5534,,216,,2690,,2906,,1252731
0808701 CO EBT MORGAN CO DSS,317,,2893,,3210,,148,,1262,,1410,,737627
0808901 CO EBT OTERO CO DSS,379,,4216,,4595,,257,,2037,,2294,,1051467
0809101 CO EBT OURAY CO DSS,23,,204,,227,,18,,118,,136,,44998
0809301 CO EBT PARK CO DSS,94,,1139,,1233,,59,,637,,696,,257495
0809501 CO EBT PHILLIPS CO DSS,28,,458,,486,,20,,214,,234,,114788
0809701 CO EBT PITKIN,18,,466,,484,,13,,329,,342,,91916
0809901 CO EBT PROWERS CO DSS,373,,2223,,2596,,194,,1108,,1302,,591031
0810101 CO EBT PUEBLO CO DSS,4120,,37787,,41907,,2283,,19561,,21844,,9505321
