NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0514701 AR EBT WOODRUFF COUNTY,11,,1207,,1218,,4,,615,,619,,125692
0514901 AR EBT YELL COUNTY,12,,2117,,2129,,3,,917,,920,,205361
0515992 AR EBT 92-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,22408,,88424,,110832,,14550,,49956,,64506,,12262996
0600302 CA EBT ALPINE COUNTY DSS,9,,117,,126,,7,,70,,77,,14377
0600501 CA EBT AMADOR COUNTY DSS,354,,2233,,2587,,216,,1279,,1495,,305347
0600702 CA EBT BUTTE COUNTY DSS,5956,,22629,,28585,,3767,,13233,,17000,,3497503
0600901 CA EBT CALAVERAS CO DSW,623,,4291,,4914,,405,,2467,,2872,,599080
0601101 CA EBT COLUSA COUNTY DSW,215,,1294,,1509,,131,,606,,737,,173703
0601302 CA EBT CONTRA COSTA COUNTY DSS,13660,,50041,,63701,,8057,,25620,,33677,,7691779
0601501 CA EBT DEL NORTE CO DSW,1393,,3985,,5378,,785,,2211,,2996,,611116
0601704 CA EBT EL DORADO COUNTY DSS,1841,,9179,,11020,,1129,,5629,,6758,,1376616
0601904 CA EBT FRESNO COUNTY DSW,40274,,172681,,212955,,18279,,74924,,93203,,24949843
0602102 CA EBT GLENN CO WELFARE DEPT,729,,2577,,3306,,376,,1259,,1635,,383339
0602303 CA EBT HUMBOLDT CO DSW,4091,,17500,,21591,,2774,,11069,,13843,,2707491
0602501 CA EBT IMPERIAL CO DSW,7765,,31320,,39085,,3961,,13966,,17927,,4410921
0602701 CA EBT INYO COUNTY WELF DEPT,226,,1594,,1820,,121,,878,,999,,223246
0602902 CA EBT KERN,33166,,120673,,153839,,16493,,55009,,71502,,18750177
0603101 CA EBT KINGS COUNTY DPW,5229,,18771,,24000,,2453,,8959,,11412,,2821268
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,2730,,9491,,12221,,1809,,5591,,7400,,1443714
0603501 CA EBT LASSEN CO DSW,767,,2280,,3047,,408,,1264,,1672,,379161
0603720 CA EBT LOS ANGELES COUNTY DPSS,304005,,864251,,1168256,,187617,,481586,,669203,,148712552
0603902 CA EBT MADERA CO DSW,5283,,20877,,26160,,2412,,9105,,11517,,3168818
0604102 CA EBT MARIN COUNTY DSW,1975,,7731,,9706,,1377,,5060,,6437,,1267618
0604301 CA EBT MARIPOSA CO DSW,337,,1745,,2082,,211,,993,,1204,,246082
0604501 CA EBT MENDOCINO CO WELF DEPT,1753,,9605,,11358,,1206,,5416,,6622,,1423147
0604701 CA EBT MERCED CO DPW,10523,,41518,,52041,,5234,,19325,,24559,,6420291
0604901 CA EBT MODOC COUNTY DSS,323,,1107,,1430,,184,,570,,754,,164037
0605101 CA EBT MONO CO WELFARE DEPT,41,,517,,558,,30,,309,,339,,73558
0605302 CA EBT MONTEREY CO DSW,6279,,33073,,39352,,3125,,15679,,18804,,5165545
0605502 CA EBT NAPA CO WELFARE DEPT,971,,4567,,5538,,634,,2483,,3117,,651945
0605701 CA EBT NEVADA CO DPSS,1146,,6436,,7582,,779,,3955,,4734,,964456
0605903 CA EBT ORANGE CO DSW,36363,,166853,,203216,,20847,,87956,,108803,,24415267
0606101 CA EBT PLACER CO WELFARE DEPT,2441,,11782,,14223,,1574,,7035,,8609,,1680929
0606301 CA EBT PLUMAS COUNTY DSS,331,,1877,,2208,,199,,1096,,1295,,271346
0606503 CA EBT RIVERSIDE COUNTY DSS,44538,,195741,,240279,,23318,,97040,,120358,,30010420
0606703 CA EBT SACRAMENTO CO DSW,51265,,165896,,217161,,27252,,81733,,108985,,26478955
0606902 CA EBT SAN BENITO COUNTY DSS,708,,3710,,4418,,366,,1842,,2208,,546051
0607105 CA EBT SAN BRNDINO CO DPSS AU,65934,,257881,,323815,,33693,,124510,,158203,,40210375
0607301 CA EBT SAN DIEGO CO DSS,41569,,222961,,264530,,24825,,119748,,144573,,31580854
0607502 CA EBT SAN FRANCISCO COUNTY DSS,4145,,60358,,64503,,1690,,44715,,46405,,7126810
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,19509,,75201,,94710,,10873,,35572,,46445,,11261012
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2643,,13389,,16032,,1517,,8242,,9759,,1915501
